word,variant,frequency,category,affix_type,replacement
spokesman,spokesman,18072,man,suffix,spokesperson
girlfriend,girlfriend,8436,girl,prefix,partner
boyfriend,boyfriend,6069,boy,prefix,partner
spokeswoman,spokeswoman,5731,woman,suffix,spokesperson
congressman,congressman,1702,man,suffix,congressperson
businessman,businessman,1588,man,suffix,businessperson
policeman,policeman,1155,man,suffix,police officer
cowboy,cowboy,523,boy,suffix,cow herder
freshman,freshman,412,man,suffix,first-year student
fisherman,fisherman,376,man,suffix,fisher
cameraman,cameraman,375,man,suffix,cameraperson
statesman,statesman,293,man,suffix,statesperson
defenseman,defenseman,233,man,suffix,defender
man-made,man-made,200,man,prefix,synthetic
madman,madman,183,man,suffix,maniac
frontman,frontman,178,man,suffix,frontperson
congresswoman,congresswoman,163,woman,suffix,congressperson
playboy,playboy,163,boy,suffix,player
fanboy,fanboy,159,boy,suffix,fan
fireman,fireman,131,man,suffix,firefighter
postman,postman,127,man,suffix,mail carrier
baseman,baseman,124,man,suffix,baseperson
strongman,strongman,124,man,suffix,strong person
foreman,foreman,121,man,suffix,foreperson
craftsman,craftsman,111,man,suffix,craftsperson
ombudsman,ombudsman,109,man,suffix,ombudsperson
hitman,hitman,107,man,suffix,assassin
businesswoman,businesswoman,101,woman,suffix,businessperson
superman,superman,94,man,suffix,superhero
caveman,caveman,89,man,suffix,caveperson
batsman,batsman,85,man,suffix,batter
lineman,lineman,74,man,suffix,lineperson
workman,workman,73,man,suffix,worker
barman,barman,70,man,suffix,bartender
showman,showman,69,man,suffix,showperson
newsman,newsman,68,man,suffix,reporter
pitchman,pitchman,67,man,suffix,pitcher
serviceman,serviceman,67,man,suffix,service member
defenceman,defenceman,61,man,suffix,defender
snowman,snowman,60,man,suffix,snowperson
watchman,watchman,60,man,suffix,watcher
marksman,marksman,58,man,suffix,sharpshooter
sportsman,sportsman,58,man,suffix,athlete
hangman,hangman,56,man,suffix,executioner
weatherman,weatherman,55,man,suffix,weather forecaster
tomboy,tomboy,55,boy,suffix,boisterous child
womankind,womankind,53,woman,prefix,humankind
