,word,variant,count,cat,affix_type
0,spokesman,spokesman,18072, man,suffix
1,congressman,congressman,1702, man,suffix
2,businessman,businessman,1588, man,suffix
3,policeman,policeman,1155, man,suffix
4,freshman,freshman,412, man,suffix
5,fisherman,fisherman,376, man,suffix
6,cameraman,cameraman,375, man,suffix
7,statesman,statesman,293, man,suffix
8,defenseman,defenseman,233, man,suffix
9,madman,madman,183, man,suffix
10,frontman,frontman,178, man,suffix
11,fireman,fireman,131, man,suffix
12,postman,postman,127, man,suffix
13,baseman,baseman,124, man,suffix
14,strongman,strongman,124, man,suffix
15,foreman,foreman,121, man,suffix
16,craftsman,craftsman,111, man,suffix
17,ombudsman,ombudsman,109, man,suffix
18,hitman,hitman,107, man,suffix
19,superman,superman,94, man,suffix
20,caveman,caveman,89, man,suffix
21,batsman,batsman,85, man,suffix
22,lineman,lineman,74, man,suffix
23,workman,workman,73, man,suffix
24,barman,barman,70, man,suffix
25,showman,showman,69, man,suffix
26,newsman,newsman,68, man,suffix
27,pitchman,pitchman,67, man,suffix
28,serviceman,serviceman,67, man,suffix
29,defenceman,defenceman,61, man,suffix
30,snowman,snowman,60, man,suffix
31,watchman,watchman,60, man,suffix
32,marksman,marksman,58, man,suffix
33,sportsman,sportsman,58, man,suffix
34,hangman,hangman,56, man,suffix
35,weatherman,weatherman,55, man,suffix
36,mailman,mailman,52, man,suffix
37,taxman,taxman,47, man,suffix
38,tribesman,tribesman,47, man,suffix
39,wingman,wingman,46, man,suffix
40,batman,batman,45, man,suffix
41,seaman,seaman,43, man,suffix
42,anchorman,anchorman,39, man,suffix
43,conman,conman,37, man,suffix
44,assemblyman,assemblyman,36, man,suffix
45,draftsman,draftsman,35, man,suffix
46,crewman,crewman,35, man,suffix
47,freeman,freeman,32, man,suffix
48,journeyman,journeyman,30, man,suffix
49,gentlemen,gentlemen,29, man,suffix
50,militiaman,militiaman,27, man,suffix
51,horseman,horseman,26, man,suffix
52,headman,headman,25, man,suffix
53,motorman,motorman,24, man,suffix
54,linesman,linesman,23, man,suffix
55,swordsman,swordsman,23, man,suffix
56,bondsman,bondsman,22, man,suffix
57,lawman,lawman,21, man,suffix
58,warehouseman,warehouseman,20, man,suffix
59,midshipman,midshipman,19, man,suffix
60,yeoman,yeoman,19, man,suffix
61,jokerman,jokerman,18, man,suffix
62,spaceman,spaceman,18, man,suffix
63,workingman,workingman,17, man,suffix
64,kinsman,kinsman,17, man,suffix
65,corpsman,corpsman,15, man,suffix
66,bluesman,bluesman,15, man,suffix
67,woodsman,woodsman,15, man,suffix
68,newspaperman,newspaperman,14, man,suffix
69,guardsman,guardsman,14, man,suffix
70,frontiersman,frontiersman,13, man,suffix
71,boatman,boatman,13, man,suffix
72,triggerman,triggerman,13, man,suffix
73,iceman,iceman,12, man,suffix
74,policemen,policemen,12, man,suffix
75,dairyman,dairyman,12, man,suffix
76,freedman,freedman,12, man,suffix
77,stallman,stallman,11, man,suffix
78,stockman,stockman,11, man,suffix
79,longshoreman,longshoreman,11, man,suffix
80,bagman,bagman,11, man,suffix
81,swingman,swingman,11, man,suffix
82,flagman,flagman,10, man,suffix
83,stickman,stickman,10, man,suffix
84,walkman,walkman,10, man,suffix
85,coachman,coachman,10, man,suffix
86,netman,netman,10, man,suffix
87,counterman,counterman,10, man,suffix
88,ironman,ironman,9, man,suffix
89,churchman,churchman,9, man,suffix
90,soundman,soundman,9, man,suffix
91,bushman,bushman,8, man,suffix
92,boogieman,boogieman,8, man,suffix
93,sheepman,sheepman,8, man,suffix
94,bondman,bondman,8, man,suffix
95,radioman,radioman,8, man,suffix
96,deadman,deadman,8, man,suffix
97,footman,footman,8, man,suffix
98,sandman,sandman,8, man,suffix
99,firemen,firemen,7, man,suffix
100,frogman,frogman,7, man,suffix
101,axeman,axeman,7, man,suffix
102,no-man,no-man,7, man,suffix
103,spiderman,spiderman,7, man,suffix
104,selectman,selectman,7, man,suffix
105,seedsman,seedsman,6, man,suffix
106,cartman,cartman,6, man,suffix
107,ploughman,ploughman,6, man,suffix
108,transman,transman,6, man,suffix
109,lumberman,lumberman,6, man,suffix
110,connman,connman,6, man,suffix
111,waxman,waxman,6, man,suffix
112,plantman,plantman,6, man,suffix
113,con-man,con-man,6, man,suffix
114,bowman,bowman,6, man,suffix
115,swagman,swagman,5, man,suffix
116,groomsman,groomsman,5, man,suffix
117,merchantman,merchantman,5, man,suffix
118,landsman,landsman,5, man,suffix
119,groundsman,groundsman,5, man,suffix
120,placeman,placeman,5, man,suffix
