,cat,word,variant,count
0,man,man-boobs,man-boobs,11
1,man,man-marking,man marking,6
2,man,man-made,man-made,200
4,man,man-ape,man-ape,9
5,man,man-pack,manpack,8
6,man,man-hater,man hater,12
8,man,man-eater,man-eater,15
9,man,man-bag,man-bag,1
11,man,man-ass,manass,1
12,man,man-crush,man-crush,10
14,man,man-child,man-child,27
16,man,man-stealing,manstealing,1
17,man,man-woman,manwoman,6
20,man,man-machine,man-machine,4
21,man,man-cession,mancession,2
23,man,man-hours,man-hours,39
24,man,man-fest,manfest,2
25,man,man-code,mancode,2
26,man,man-eating,man-eating,21
27,man,man-hour,man-hour,3
28,man,man-hating,man hating,7
29,man,man-hug,man hug,3
30,man,man-up,man up,2
34,man,man-year,man-year,1
35,man,man-thing,man-thing,1
38,man,man-cat,mancat,1
39,man,man-stopper,manstopper,8
40,man,man-love,manlove,7
41,man,man-dog,mandog,2
42,man,man-power,man power,11
48,man,man-month,man-month,2
52,man,man-servant,man servant,2
53,man,man-rating,man-rating,1
56,man,man-boy,manboy,5
57,man,man-db,man-db,7
59,man,man-magnet,man magnet,2
60,man,man-whore,man-whore,5
65,man,man-cave,man cave,2
66,man,man-He,manHe,1
68,man,man-trap,man-trap,1
71,man,man-friend,manfriend,1
72,man,man-hunt,man hunt,5
76,man,man-hood,manhood,2
81,man,man-page,man-page,1
84,man,man-slaughter,manslaughter,2
85,man,man-kind,mankind,2
86,man,man-mark,man-mark,2
88,woman,womankind,womankind,53
89,woman,womanist,womanist,9
92,woman,womanly,womanly,2
93,woman,womanism,womanism,11
97,girl,girlfriend,girlfriend,8436
98,girl,girliness,girliness,21
99,girl,girlie,girlie,79
102,girl,girlfag,girlfag,1
104,girl,girlish,girlish,25
107,girl,girldom,girldom,2
108,girl,girlvinyl,girlvinyl,1
110,girl,girlification,girlification,2
113,girl,girlishly,girlishly,1
114,girl,girlfight,girlfight,5
118,girl,girlpower,girlpower,1
120,girl,girlcott,girlcott,2
125,girl,girllove,girllove,6
127,boy,boyfriend,boyfriend,6069
128,boy,boycott,boycott,3798
129,boy,boycotts,boycotts,708
130,boy,boyle,boyle,7
132,boy,boyne,boyne,6
134,boy,boyardee,boyardee,3
136,boy,boyar,boyar,7
137,boy,boyband,boyband,13
140,boy,boyish,boyish,32
141,boy,boycot,boycot,3
142,boy,boycotting,boycotting,50
145,boy,boycotter,boycotter,7
148,boy,boying,boying,1
149,boy,boyscout,boyscout,9
151,boy,boyness,boyness,3
152,boy,boyism,boyism,4
154,boy,boyishly,boyishly,1
157,boy,boyer,boyer,1
165,boy,boyunlu,boyunlu,9
170,boy,boyun,boyun,3
174,boy,boysgirls,boysgirls,3
175,boy,boyce,boyce,1
178,boy,boynton,boynton,1
179,boy,boytoy,boytoy,1
